iter	RMSE
0	48.66038429
1	48.30206864
2	47.95251767
3	47.67954951
4	47.4202855
5	47.00509146
6	46.60076637
7	46.36262169
8	46.06916327
9	45.77194782
10	45.5085395
11	45.21140325
12	44.94454947
13	44.66602215
14	44.41082494
15	44.14279953
16	43.93223204
17	43.68580086
18	43.43167549
19	43.17996995
20	42.87458211
21	42.62101504
22	42.27792518
23	42.07871177
24	41.88383257
25	41.70078275
26	41.50416832
27	41.29413909
28	41.13117665
29	40.83769129
30	40.67391263
31	40.49231958
32	40.31898615
33	40.07507469
34	39.79770561
35	39.58204211
36	39.3530879
37	39.06593632
38	38.89161166
39	38.74203911
40	38.4997914
41	38.24448867
42	38.09198681
43	37.91116052
44	37.74292627
45	37.55939943
46	37.38631808
47	37.27190943
48	37.10587807
49	36.97058605
50	36.88067342
51	36.70912574
52	36.48088389
53	36.2689969
54	36.13129326
55	35.93246256
56	35.73264694
57	35.54581444
58	35.38341693
59	35.15794943
60	35.0296579
61	34.9042583
62	34.78176
63	34.63173779
64	34.53958798
65	34.44709613
66	34.31906134
67	34.14892481
68	34.04023574
69	33.84014837
70	33.71265966
71	33.57015958
72	33.41083152
73	33.36681577
74	33.25010849
75	33.13656884
76	32.94564442
77	32.76673888
78	32.6652454
79	32.56445755
80	32.38416687
81	32.23583825
82	32.09324732
83	31.91874042
84	31.74955295
85	31.51957841
86	31.37343849
87	31.29959746
88	31.19394261
89	31.02884749
90	30.89936359
91	30.79051748
92	30.67856316
93	30.57576269
94	30.46086557
95	30.3498558
96	30.26567579
97	30.13835459
98	29.96216977
99	29.7474995
100	29.64530377
101	29.54790969
102	29.4014268
103	29.29461671
104	29.19795467
105	29.111613
106	29.01853046
107	28.87771744
108	28.7774865
109	28.66373804
110	28.5551919
111	28.37096394
112	28.27153437
113	28.15138711
114	28.06967047
115	27.98385329
116	27.84035452
117	27.77639279
118	27.68860053
119	27.59929422
120	27.52711846
121	27.44133665
122	27.31208798
123	27.19442946
124	27.07905456
125	26.92588505
126	26.86138971
127	26.73615156
128	26.62115202
129	26.4883454
130	26.43138927
131	26.33015928
132	26.22699641
133	26.10637974
