iter	Passed	Remaining
0	1	2115
1	2	1614
2	2	1410
3	3	1323
4	4	1265
5	4	1230
6	5	1256
7	6	1236
8	7	1212
9	8	1200
10	8	1188
11	9	1185
12	10	1170
13	10	1166
14	11	1155
15	12	1149
16	13	1141
17	13	1132
18	14	1127
19	15	1125
20	15	1119
21	16	1121
22	18	1163
23	18	1163
24	19	1156
25	20	1151
26	21	1147
27	21	1142
28	22	1135
29	23	1131
30	23	1128
31	24	1126
32	25	1126
33	26	1121
34	26	1120
35	27	1119
36	28	1119
37	29	1116
38	29	1112
39	30	1111
40	31	1108
41	31	1106
42	32	1104
43	33	1102
44	34	1099
45	34	1096
46	35	1094
47	36	1093
48	36	1091
49	37	1089
50	38	1088
51	39	1086
52	39	1086
53	40	1084
54	41	1083
55	41	1081
56	42	1078
57	43	1078
58	44	1076
59	44	1074
60	45	1073
61	46	1072
62	46	1070
63	47	1068
64	48	1066
65	49	1065
66	49	1064
67	50	1063
68	51	1062
69	51	1060
70	52	1058
71	53	1057
72	54	1057
73	54	1056
74	55	1055
75	56	1054
76	57	1067
77	58	1066
78	59	1065
79	59	1063
80	60	1062
81	61	1061
82	62	1060
83	62	1059
84	63	1057
85	64	1055
86	64	1054
87	65	1052
88	66	1052
89	67	1051
90	67	1051
91	68	1049
92	69	1049
93	70	1047
94	70	1047
95	71	1045
96	72	1044
97	72	1043
98	73	1041
99	74	1041
100	75	1040
101	75	1039
102	76	1037
103	77	1037
104	77	1035
105	78	1034
106	79	1033
107	80	1031
108	80	1030
109	81	1029
110	82	1028
111	82	1027
112	83	1026
113	84	1025
114	85	1025
115	85	1024
116	86	1024
117	87	1024
118	88	1023
119	88	1022
120	89	1021
121	90	1020
122	91	1020
123	91	1019
124	92	1019
125	93	1018
126	94	1017
127	94	1017
128	95	1017
129	96	1016
130	97	1015
131	97	1014
132	98	1014
133	99	1015
134	100	1014
135	101	1014
136	101	1014
137	102	1014
138	103	1015
139	104	1015
140	105	1016
141	106	1015
142	106	1014
143	107	1014
144	108	1015
145	109	1015
146	110	1015
147	111	1015
148	111	1015
149	112	1015
150	113	1015
151	114	1015
152	115	1015
153	116	1015
154	117	1015
155	117	1015
156	118	1014
157	119	1013
158	120	1013
159	121	1018
160	122	1017
161	123	1017
162	124	1017
163	124	1017
164	125	1017
165	126	1017
166	127	1016
167	128	1017
168	129	1016
169	129	1016
170	130	1016
171	131	1015
172	132	1016
173	133	1015
174	134	1014
175	134	1014
176	135	1015
177	136	1016
178	137	1016
179	138	1017
180	139	1018
181	140	1019
182	141	1019
183	142	1018
184	143	1019
185	144	1018
186	144	1017
187	145	1017
188	146	1016
189	147	1016
190	148	1016
191	149	1016
192	150	1016
193	150	1015
194	151	1014
195	152	1015
196	153	1015
197	154	1014
198	155	1014
199	155	1013
200	156	1013
201	157	1014
202	158	1014
203	159	1013
204	160	1012
205	161	1012
206	161	1011
207	162	1011
208	163	1011
209	164	1011
210	165	1010
211	166	1010
212	167	1009
213	167	1009
214	168	1009
215	169	1008
216	170	1007
217	171	1007
218	172	1006
219	172	1005
220	173	1004
221	174	1004
222	175	1003
223	176	1002
224	176	1002
225	177	1001
226	178	1001
227	179	1000
228	180	999
229	180	999
230	181	998
231	182	998
232	183	997
233	184	997
234	185	996
235	185	996
236	186	995
237	187	994
238	188	994
239	189	993
240	190	992
241	190	992
242	191	991
243	192	991
244	193	990
245	194	989
246	195	989
247	195	988
248	196	987
249	197	987
250	198	986
251	199	986
252	199	985
253	200	984
254	201	983
255	202	983
256	203	982
257	204	982
258	204	981
259	205	980
260	206	980
261	207	979
262	208	979
263	209	979
264	210	979
265	210	978
266	211	977
267	212	977
268	213	976
269	214	976
270	215	975
271	215	974
272	216	974
273	217	974
274	218	974
275	219	974
276	220	974
277	221	973
278	222	973
279	223	973
280	224	973
281	225	973
282	226	973
283	227	973
284	228	973
285	229	973
286	230	973
287	231	972
288	232	972
289	233	972
290	234	972
291	235	972
292	236	972
293	236	972
294	237	971
295	238	972
296	239	972
297	240	971
298	241	970
299	242	970
300	243	969
301	244	968
302	245	968
303	245	967
304	246	966
305	247	965
306	248	965
307	249	964
308	250	964
309	251	963
310	252	963
311	252	963
312	253	962
313	254	962
314	255	961
315	256	960
316	257	959
317	258	959
318	259	959
319	260	959
320	261	958
321	262	958
322	262	958
323	263	957
324	264	957
325	265	956
326	266	956
327	267	955
328	268	955
329	269	954
330	269	953
331	270	952
332	271	951
333	272	951
334	273	950
335	274	949
336	274	948
337	275	947
338	276	946
339	277	946
340	278	945
341	279	944
342	280	944
343	280	944
344	281	943
345	282	943
346	283	943
347	284	942
348	285	942
349	286	942
350	287	941
351	288	941
352	289	939
353	290	938
354	290	937
355	291	936
356	292	935
357	292	934
358	293	933
359	294	932
360	295	931
361	296	931
362	297	930
363	297	929
364	298	928
365	299	927
366	300	926
367	300	925
368	301	924
369	302	923
370	303	923
371	306	928
372	309	934
373	311	938
374	315	945
375	317	949
376	319	952
377	320	952
378	321	952
379	322	951
380	323	951
381	324	951
382	326	950
383	327	950
384	328	950
385	329	950
386	330	949
387	331	949
388	332	949
389	333	950
390	335	951
391	336	951
392	338	952
393	339	953
394	340	953
395	341	953
396	343	955
397	345	955
398	346	955
399	347	955
400	348	954
401	349	954
402	350	955
403	352	955
404	353	954
405	354	954
406	355	953
407	356	953
408	357	953
409	358	953
410	359	952
411	360	952
412	361	951
413	362	951
414	364	951
415	365	951
416	365	950
417	367	950
418	368	950
419	369	950
420	371	951
421	372	952
422	374	953
423	376	954
424	377	953
425	378	953
426	379	952
427	380	952
428	381	951
429	382	950
430	383	951
431	385	952
432	386	952
433	388	953
434	389	953
435	390	952
436	391	952
437	392	951
438	393	950
439	394	950
440	395	949
441	396	949
442	397	948
443	398	948
444	400	949
445	401	949
446	403	949
447	404	949
448	405	949
449	407	950
450	410	954
451	413	958
452	414	958
453	416	958
454	417	958
455	418	958
456	419	957
457	420	956
458	421	955
459	422	954
460	423	954
461	424	954
462	426	955
463	427	954
464	428	953
465	430	954
466	431	954
467	433	954
468	434	955
469	436	956
470	437	956
471	439	957
472	441	957
473	442	957
474	443	957
475	445	959
476	447	960
477	449	960
478	451	962
479	453	963
480	455	964
481	457	965
482	458	966
483	461	968
484	463	970
485	467	975
486	476	990
487	485	1007
488	491	1015
489	492	1015
490	498	1024
491	501	1027
492	505	1032
493	512	1044
494	520	1055
495	526	1066
496	531	1073
497	534	1076
498	537	1077
499	540	1080
500	542	1082
501	544	1082
502	545	1082
503	547	1082
504	548	1081
505	550	1080
506	551	1080
507	552	1079
508	554	1078
509	555	1078
510	557	1078
511	558	1078
512	559	1077
513	561	1076
514	562	1075
515	563	1074
516	564	1073
517	567	1075
518	568	1075
519	570	1074
520	571	1073
521	573	1074
522	574	1074
523	576	1073
524	578	1073
525	584	1081
526	586	1083
527	588	1082
528	589	1081
529	590	1080
530	591	1079
531	592	1078
532	594	1077
533	595	1076
534	596	1075
535	597	1073
536	598	1072
537	599	1071
538	599	1069
539	600	1067
540	601	1066
541	603	1066
542	604	1065
543	605	1064
544	607	1064
545	608	1063
546	610	1063
547	611	1062
548	612	1061
549	614	1060
550	615	1059
551	617	1060
552	619	1060
553	621	1061
554	623	1061
555	626	1063
556	627	1063
557	629	1062
558	631	1062
559	632	1062
560	634	1061
561	635	1061
562	638	1061
563	639	1061
564	641	1060
565	642	1059
566	643	1058
567	644	1057
568	646	1057
569	647	1056
570	654	1064
571	656	1064
572	657	1063
573	658	1061
574	659	1060
575	660	1059
576	661	1057
577	662	1056
578	664	1056
579	666	1057
580	669	1058
581	671	1059
582	673	1058
583	674	1058
584	677	1059
585	678	1059
586	685	1066
587	690	1070
588	693	1072
589	698	1077
590	703	1081
591	704	1080
592	706	1080
593	710	1084
594	716	1089
595	718	1090
596	722	1092
597	724	1093
598	727	1093
599	730	1096
600	733	1096
601	738	1101
602	742	1104
603	749	1111
604	755	1116
605	771	1138
606	777	1144
607	783	1150
608	787	1151
609	791	1155
610	799	1163
611	805	1168
612	809	1170
613	811	1170
614	815	1172
615	819	1176
616	822	1177
617	823	1175
618	830	1181
619	832	1182
620	834	1180
621	840	1186
622	845	1189
623	848	1191
624	852	1193
625	856	1195
626	858	1195
627	863	1198
628	867	1201
629	869	1201
630	872	1201
631	878	1207
632	882	1208
633	885	1209
634	887	1208
635	888	1207
636	890	1206
637	891	1205
638	892	1203
639	894	1201
640	895	1199
641	896	1197
642	897	1195
643	898	1193
644	899	1191
645	900	1189
646	901	1188
647	902	1186
648	903	1184
649	904	1182
650	905	1180
651	906	1179
652	908	1177
653	909	1176
654	910	1174
655	912	1173
656	913	1172
657	915	1171
658	916	1170
659	917	1168
660	919	1166
661	920	1164
662	921	1163
663	922	1161
664	924	1160
665	925	1158
666	926	1157
667	927	1155
668	929	1154
669	930	1152
670	931	1150
671	932	1148
672	933	1146
673	934	1145
674	935	1143
675	937	1142
676	938	1141
677	939	1139
678	941	1138
679	942	1136
680	943	1135
681	945	1133
682	947	1132
683	948	1131
684	949	1129
685	950	1127
686	951	1126
687	952	1124
688	953	1122
689	954	1120
690	955	1118
691	956	1116
692	957	1115
693	958	1113
694	959	1111
695	960	1109
696	961	1107
697	962	1105
698	962	1103
699	963	1101
700	964	1099
701	965	1098
702	966	1096
703	967	1094
704	968	1092
705	969	1090
706	970	1088
707	971	1086
708	972	1085
709	973	1083
710	974	1081
711	975	1079
712	976	1077
713	977	1076
714	978	1074
715	979	1072
716	980	1070
717	981	1069
718	982	1066
719	983	1065
720	983	1063
721	984	1061
722	985	1059
723	986	1057
724	987	1055
725	988	1053
726	989	1051
727	990	1050
728	991	1048
729	992	1047
730	994	1045
731	995	1044
732	996	1043
733	998	1041
734	999	1039
735	1000	1038
736	1001	1036
737	1002	1035
738	1003	1033
739	1004	1031
740	1005	1029
741	1006	1028
742	1007	1026
743	1008	1024
744	1009	1023
745	1010	1021
746	1011	1019
747	1012	1018
748	1013	1016
749	1014	1014
750	1015	1012
751	1016	1011
752	1017	1009
753	1019	1008
754	1020	1006
755	1021	1005
756	1023	1004
757	1024	1002
758	1025	1001
759	1026	999
760	1027	997
761	1028	995
762	1029	994
763	1030	992
764	1031	990
765	1032	988
766	1032	987
767	1034	985
768	1035	983
769	1035	982
770	1036	980
771	1037	978
772	1038	976
773	1039	975
774	1041	974
775	1042	972
776	1043	971
777	1044	969
778	1046	968
779	1047	966
780	1048	965
781	1049	963
782	1051	962
783	1056	964
784	1060	965
785	1062	965
786	1065	965
787	1067	964
788	1069	964
789	1072	964
790	1074	963
791	1077	963
792	1079	962
793	1081	961
794	1083	960
795	1084	959
796	1086	957
797	1087	956
798	1088	954
799	1089	953
800	1090	951
801	1091	950
802	1092	948
803	1093	946
804	1094	945
805	1095	943
806	1096	941
807	1097	940
808	1098	938
809	1099	936
810	1100	935
811	1101	933
812	1102	931
813	1103	929
814	1104	928
815	1105	926
816	1106	924
817	1107	923
818	1107	921
819	1108	919
820	1109	917
821	1110	915
822	1110	913
823	1111	911
824	1112	909
825	1112	908
826	1113	906
827	1114	904
828	1115	902
829	1116	900
830	1116	899
831	1117	897
832	1118	895
833	1119	893
834	1120	892
835	1121	890
836	1121	888
837	1122	886
838	1123	885
839	1124	883
840	1125	881
841	1125	879
842	1126	878
843	1127	876
844	1128	874
845	1129	872
846	1129	871
847	1130	869
848	1131	867
849	1132	865
850	1132	863
851	1133	862
852	1134	860
853	1135	858
854	1136	857
855	1136	855
856	1137	853
857	1138	851
858	1139	850
859	1140	848
860	1140	846
861	1141	844
862	1142	843
863	1143	841
864	1143	839
865	1144	838
866	1145	836
867	1146	834
868	1146	832
869	1147	831
870	1148	829
871	1149	827
872	1149	825
873	1150	824
874	1151	822
875	1151	820
876	1152	818
877	1153	817
878	1154	815
879	1154	813
880	1155	811
881	1156	810
882	1157	808
883	1157	806
884	1158	805
885	1159	803
886	1159	801
887	1160	799
888	1161	798
889	1162	796
890	1162	794
891	1163	793
892	1164	791
893	1164	789
894	1165	787
895	1166	786
896	1167	784
897	1167	782
898	1168	781
899	1169	779
900	1170	777
901	1170	776
902	1171	774
903	1172	772
904	1173	771
905	1173	769
906	1174	767
907	1175	766
908	1176	764
909	1177	763
910	1178	761
911	1179	760
912	1180	758
913	1181	757
914	1182	755
915	1183	754
916	1184	752
917	1184	751
918	1185	749
919	1186	748
920	1187	746
921	1188	745
922	1189	743
923	1190	741
924	1191	740
925	1191	738
926	1192	737
927	1193	735
928	1194	734
929	1195	732
930	1196	731
931	1197	729
932	1198	728
933	1199	726
934	1200	725
935	1200	723
936	1201	722
937	1202	720
938	1203	719
939	1204	717
940	1205	715
941	1205	714
942	1206	712
943	1207	711
944	1207	709
945	1208	707
946	1209	706
947	1210	704
948	1210	703
949	1211	701
950	1212	699
951	1213	698
952	1213	696
953	1214	695
954	1215	693
955	1216	692
956	1217	690
957	1218	689
958	1218	687
959	1219	686
960	1220	684
961	1221	683
962	1222	681
963	1223	680
964	1223	678
965	1224	676
966	1225	675
967	1226	673
968	1226	672
969	1227	670
970	1228	669
971	1228	667
972	1229	666
973	1230	664
974	1231	662
975	1231	661
976	1232	659
977	1233	658
978	1234	656
979	1234	655
980	1235	653
981	1236	652
982	1237	650
983	1237	649
984	1238	647
985	1239	646
986	1240	644
987	1241	643
988	1241	641
989	1242	640
990	1243	638
991	1243	637
992	1244	635
993	1245	633
994	1246	632
995	1246	630
996	1247	629
997	1248	627
998	1248	626
999	1249	624
1000	1250	623
1001	1251	621
1002	1251	620
1003	1252	618
1004	1253	617
1005	1253	615
1006	1254	614
1007	1255	612
1008	1256	611
1009	1257	610
1010	1258	608
1011	1259	607
1012	1259	605
1013	1260	604
1014	1261	602
1015	1262	601
1016	1262	599
1017	1263	598
1018	1264	596
1019	1265	595
1020	1265	593
1021	1266	592
1022	1267	590
1023	1268	589
1024	1269	588
1025	1270	586
1026	1271	585
1027	1272	584
1028	1274	583
1029	1275	581
1030	1276	580
1031	1277	579
1032	1278	578
1033	1279	576
1034	1280	575
1035	1282	574
1036	1283	573
1037	1284	571
1038	1285	570
1039	1286	568
1040	1287	567
1041	1288	566
1042	1289	564
1043	1290	563
1044	1291	562
1045	1292	561
1046	1293	559
1047	1294	558
1048	1295	557
1049	1297	555
1050	1298	554
1051	1299	553
1052	1300	552
1053	1301	550
1054	1302	549
1055	1303	548
1056	1304	546
1057	1305	545
1058	1306	544
1059	1307	542
1060	1308	541
1061	1309	539
1062	1310	538
1063	1310	537
1064	1311	535
1065	1312	534
1066	1313	532
1067	1313	531
1068	1314	530
1069	1315	528
1070	1316	527
1071	1316	525
1072	1317	524
1073	1318	522
1074	1319	521
1075	1319	520
1076	1320	518
1077	1321	517
1078	1321	515
1079	1322	514
1080	1323	512
1081	1324	511
1082	1324	510
1083	1325	508
1084	1326	507
1085	1327	506
1086	1328	504
1087	1330	503
1088	1331	502
1089	1332	501
1090	1333	500
1091	1335	498
1092	1336	497
1093	1337	496
1094	1339	495
1095	1340	494
1096	1341	492
1097	1343	491
1098	1344	490
1099	1345	489
1100	1346	488
1101	1347	486
1102	1349	485
1103	1351	484
1104	1352	483
1105	1354	482
1106	1355	481
1107	1356	479
1108	1357	478
1109	1359	477
1110	1361	476
1111	1364	476
1112	1367	475
1113	1369	474
1114	1371	473
1115	1374	473
1116	1377	472
1117	1378	471
1118	1380	469
1119	1382	468
1120	1383	467
1121	1384	466
1122	1386	465
1123	1388	464
1124	1389	463
1125	1391	462
1126	1393	461
1127	1408	464
1128	1421	467
1129	1451	475
1130	1458	475
1131	1466	476
1132	1475	477
1133	1483	478
1134	1487	478
1135	1497	479
1136	1500	479
1137	1513	481
1138	1521	482
1139	1546	488
1140	1555	489
1141	1558	488
1142	1565	488
1143	1573	489
1144	1600	496
1145	1606	496
1146	1611	496
1147	1616	495
1148	1618	494
1149	1635	497
1150	1657	502
1151	1673	505
1152	1684	506
1153	1686	505
1154	1692	505
1155	1696	504
1156	1698	503
1157	1701	502
1158	1704	501
1159	1706	500
1160	1709	499
1161	1712	498
1162	1714	496
1163	1717	495
1164	1720	494
1165	1733	496
1166	1735	495
1167	1737	493
1168	1739	492
1169	1740	491
1170	1752	492
1171	1760	492
1172	1762	491
1173	1765	490
1174	1766	488
1175	1769	487
1176	1773	486
1177	1775	485
1178	1776	483
1179	1777	482
1180	1779	480
1181	1780	479
1182	1782	477
1183	1784	476
1184	1785	474
1185	1788	473
1186	1790	472
1187	1792	470
1188	1794	469
1189	1795	467
1190	1798	466
1191	1800	465
1192	1802	463
1193	1803	462
1194	1805	460
1195	1807	459
1196	1808	457
1197	1810	456
1198	1811	454
1199	1813	453
1200	1815	451
1201	1817	450
1202	1818	448
1203	1819	447
1204	1820	445
1205	1821	444
1206	1823	442
1207	1824	441
1208	1825	439
1209	1827	437
1210	1828	436
1211	1830	435
1212	1831	433
1213	1832	431
1214	1834	430
1215	1835	428
1216	1836	427
1217	1838	425
1218	1839	424
1219	1840	422
1220	1842	420
1221	1843	419
1222	1845	417
1223	1846	416
1224	1848	414
1225	1849	413
1226	1852	412
1227	1854	410
1228	1856	409
1229	1857	407
1230	1859	406
1231	1861	404
1232	1862	403
1233	1864	401
1234	1865	400
1235	1866	398
1236	1868	397
1237	1870	395
1238	1873	394
1239	1876	393
1240	1878	392
1241	1879	390
1242	1881	388
1243	1883	387
1244	1884	386
1245	1888	384
1246	1890	383
1247	1892	382
1248	1893	380
1249	1895	379
1250	1896	377
1251	1897	375
1252	1898	374
1253	1899	372
1254	1901	371
1255	1902	369
1256	1904	368
1257	1905	366
1258	1907	365
1259	1908	363
1260	1910	362
1261	1911	360
1262	1913	359
1263	1914	357
1264	1915	355
1265	1916	354
1266	1918	352
1267	1919	351
1268	1920	349
1269	1922	348
1270	1923	346
1271	1924	344
1272	1925	343
1273	1926	341
1274	1928	340
1275	1929	338
1276	1930	337
1277	1931	335
1278	1932	333
1279	1933	332
1280	1934	330
1281	1935	329
1282	1936	327
1283	1937	325
1284	1938	324
1285	1940	322
1286	1941	321
1287	1942	319
1288	1943	318
1289	1944	316
1290	1945	314
1291	1946	313
1292	1947	311
1293	1948	310
1294	1950	308
1295	1951	307
1296	1953	305
1297	1954	304
1298	1955	302
1299	1956	300
1300	1957	299
1301	1960	298
1302	1961	296
1303	1963	295
1304	1964	293
1305	1965	292
1306	1966	290
1307	1967	288
1308	1968	287
1309	1969	285
1310	1970	284
1311	1972	282
1312	1973	281
1313	1974	279
1314	1975	277
1315	1976	276
1316	1976	274
1317	1977	273
1318	1978	271
1319	1979	269
1320	1980	268
1321	1981	266
1322	1982	265
1323	1983	263
1324	1984	262
1325	1985	260
1326	1986	259
1327	1987	257
1328	1988	255
1329	1989	254
1330	1990	252
1331	1991	251
1332	1992	249
1333	1992	247
1334	1993	246
1335	1994	244
1336	1995	243
1337	1995	241
1338	1996	240
1339	1997	238
1340	1998	236
1341	1998	235
1342	1999	233
1343	2000	232
1344	2001	230
1345	2002	229
1346	2003	227
1347	2003	225
1348	2004	224
1349	2005	222
1350	2006	221
1351	2006	219
1352	2007	218
1353	2008	216
1354	2009	215
1355	2009	213
1356	2010	211
1357	2011	210
1358	2012	208
1359	2012	207
1360	2013	205
1361	2014	204
1362	2015	202
1363	2015	200
1364	2016	199
1365	2017	197
1366	2018	196
1367	2018	194
1368	2019	193
1369	2020	191
1370	2021	190
1371	2021	188
1372	2022	187
1373	2023	185
1374	2024	184
1375	2024	182
1376	2025	180
1377	2026	179
1378	2027	177
1379	2028	176
1380	2028	174
1381	2029	173
1382	2030	171
1383	2030	170
1384	2031	168
1385	2032	167
1386	2033	165
1387	2033	164
1388	2034	162
1389	2035	161
1390	2036	159
1391	2037	158
1392	2037	156
1393	2038	155
1394	2039	153
1395	2040	151
1396	2040	150
1397	2041	148
1398	2042	147
1399	2043	145
1400	2043	144
1401	2044	142
1402	2045	141
1403	2046	139
1404	2046	138
1405	2047	136
1406	2048	135
1407	2049	133
1408	2050	132
1409	2050	130
1410	2051	129
1411	2052	127
1412	2053	126
1413	2053	124
1414	2054	123
1415	2055	121
1416	2056	120
1417	2056	118
1418	2057	117
1419	2058	115
1420	2059	114
1421	2059	112
1422	2060	111
1423	2061	110
1424	2061	108
1425	2062	107
1426	2063	105
1427	2064	104
1428	2065	102
1429	2065	101
1430	2066	99
1431	2067	98
1432	2068	96
1433	2068	95
1434	2069	93
1435	2070	92
1436	2071	90
1437	2071	89
1438	2072	87
1439	2073	86
1440	2074	84
1441	2075	83
1442	2075	81
1443	2076	80
1444	2077	79
1445	2078	77
1446	2078	76
1447	2079	74
1448	2080	73
1449	2081	71
1450	2081	70
1451	2082	68
1452	2083	67
1453	2084	65
1454	2084	64
1455	2085	63
1456	2086	61
1457	2087	60
1458	2088	58
1459	2088	57
1460	2089	55
1461	2090	54
1462	2091	52
1463	2091	51
1464	2092	49
1465	2093	48
1466	2094	47
1467	2094	45
1468	2095	44
1469	2096	42
1470	2097	41
1471	2098	39
1472	2099	38
1473	2099	37
1474	2100	35
1475	2101	34
1476	2102	32
1477	2103	31
1478	2104	29
1479	2104	28
1480	2105	27
1481	2106	25
1482	2107	24
1483	2107	22
1484	2108	21
1485	2109	19
1486	2110	18
1487	2111	17
1488	2111	15
1489	2112	14
1490	2113	12
1491	2114	11
1492	2115	9
1493	2115	8
1494	2116	7
1495	2117	5
1496	2118	4
1497	2118	2
1498	2119	1
1499	2120	0
